,architecture,variance,psnr,psnr std,ssim,ssim std,second,loss,num classes,num repeat,degree,factor,polynomial,polynomial degree
4757,decreasing,22.5,27.09818,1.2712876,0.71589303,0.06478895,True,H1,50.0,1.0,4.0,1.0,True,4.0
4758,decreasing,22.5,20.330267,0.80758256,0.24253443,0.048756912,True,H1,50.0,1.0,4.0,0.3162277660168379,True,4.0
4759,decreasing,22.5,-6.898161,1.929074,0.0012523611,0.0016697131,True,H1,50.0,1.0,5.0,10.0,True,2.0
4760,decreasing,22.5,26.716732,1.5573872,0.7170095,0.07720179,True,H1,50.0,1.0,5.0,10.0,True,5.0
4761,decreasing,22.5,27.443525,0.8970163,0.72747296,0.058351807,True,H1,50.0,1.0,5.0,10.0,False,-1.0
4762,decreasing,22.5,24.307673,0.7408445,0.56260455,0.10032241,True,H1,50.0,1.0,5.0,1.0,True,2.0
4763,decreasing,22.5,26.586988,1.8494463,0.74982,0.051941488,True,H1,50.0,1.0,5.0,1.0,True,5.0
4764,decreasing,22.5,25.022058,0.7984501,0.60479075,0.093857445,True,H1,50.0,1.0,5.0,1.0,False,-1.0
4765,decreasing,22.5,-0.3086892,0.58046424,0.0041838367,0.0025325397,True,H1,50.0,1.0,5.0,0.3162277660168379,True,1.0
4766,decreasing,22.5,8.981739,2.2602057,0.20143045,0.06795429,True,H1,50.0,1.0,5.0,0.3162277660168379,True,3.0
4767,decreasing,22.5,26.686945,0.7170889,0.6791946,0.07925772,True,H1,50.0,1.0,5.0,0.3162277660168379,True,4.0
4768,decreasing,22.5,27.178606,1.3884498,0.7280391,0.06138209,True,H1,50.0,1.0,5.0,0.3162277660168379,True,5.0
4769,decreasing,22.5,27.51178,1.4056374,0.7458644,0.046182316,False,H1,50.0,1.0,-1.0,-1.0,-1,-1.0
4770,decreasing,22.5,-11.208373,0.47760442,0.00085431786,0.00047755428,True,L2,5.0,1.0,1.0,10.0,False,-1.0
4771,decreasing,22.5,16.665392,2.5092456,0.18099554,0.12900898,True,L2,5.0,1.0,1.0,3.1622776601683795,True,1.0
4772,decreasing,22.5,24.971672,3.0104797,0.6831134,0.14554211,True,L2,5.0,1.0,1.0,3.1622776601683795,True,4.0
4773,decreasing,22.5,26.874525,1.4888153,0.711638,0.07060201,True,L2,5.0,1.0,1.0,3.1622776601683795,False,-1.0
4774,decreasing,22.5,21.434023,1.5462586,0.4764849,0.10909306,True,L2,5.0,1.0,1.0,1.0,True,1.0
4775,decreasing,22.5,3.3267367,4.394709,0.010557676,0.012398443,True,L2,5.0,1.0,1.0,0.3162277660168379,True,4.0
4776,decreasing,22.5,27.507315,0.9820675,0.74133015,0.062476613,True,L2,5.0,1.0,2.0,3.1622776601683795,True,4.0
4777,decreasing,22.5,19.064898,1.2951638,0.22580828,0.08111454,True,L2,5.0,1.0,2.0,1.0,True,2.0
4778,decreasing,22.5,-2.8622918,9.92404,0.04993793,0.12983923,True,L2,5.0,1.0,3.0,10.0,True,2.0
4779,decreasing,22.5,-5.175615,2.3105042,0.026927525,0.020379292,True,L2,5.0,1.0,3.0,3.1622776601683795,True,4.0
4780,decreasing,22.5,25.241505,1.9891249,0.6916841,0.08650661,True,L2,5.0,1.0,3.0,3.1622776601683795,True,5.0
4781,decreasing,22.5,24.532206,1.3077322,0.60589314,0.08946079,True,L2,5.0,1.0,3.0,1.0,True,2.0
4782,decreasing,22.5,26.552267,1.9726353,0.7180532,0.115989365,True,L2,5.0,1.0,3.0,1.0,True,3.0
4783,decreasing,22.5,21.134975,5.918789,0.6221698,0.19552316,True,L2,5.0,1.0,3.0,1.0,False,-1.0
4784,decreasing,22.5,23.962383,0.7733163,0.56165814,0.0916447,True,L2,5.0,1.0,3.0,0.3162277660168379,True,2.0
4785,decreasing,22.5,24.817204,1.9413747,0.6258647,0.14844407,True,L2,5.0,1.0,3.0,0.3162277660168379,False,-1.0
4786,decreasing,22.5,-20.278063,1.1434659,0.0020635317,0.0011352826,True,L2,5.0,1.0,4.0,10.0,True,2.0
4787,decreasing,22.5,26.176588,1.6031357,0.6725638,0.09974343,True,L2,5.0,1.0,4.0,10.0,True,4.0
4788,decreasing,22.5,-8.96672,2.0467734,0.0010957782,0.0028097932,True,L2,5.0,1.0,4.0,10.0,True,5.0
4789,decreasing,22.5,22.441908,2.43204,0.42935842,0.19308467,True,L2,5.0,1.0,4.0,3.1622776601683795,True,1.0
4790,decreasing,22.5,16.450577,1.1347905,0.3006179,0.07724531,True,L2,5.0,1.0,4.0,3.1622776601683795,True,2.0
4791,decreasing,22.5,25.627274,2.0387542,0.7137209,0.0738741,True,L2,5.0,1.0,4.0,3.1622776601683795,True,4.0
4792,decreasing,22.5,-13.406485,0.844737,2.121605e-05,0.0034560515,True,L2,5.0,1.0,4.0,3.1622776601683795,False,-1.0
4793,decreasing,22.5,4.496316,3.910771,0.015562161,0.014635979,True,L2,5.0,1.0,4.0,1.0,True,2.0
4794,decreasing,22.5,26.010462,1.740522,0.69217056,0.12403479,True,L2,5.0,1.0,4.0,1.0,True,4.0
