,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
6524,decreasing,psnr,20,3,256,noconstraints,0,1,0,15.0,29.12485122680664,24.91112327575684,23.92572593688965,26.853979110717773
6525,decreasing,psnr,20,3,256,noconstraints,0,1,0,20.0,28.661212921142575,24.81684875488281,23.836320877075195,26.63658332824707
6526,decreasing,psnr,20,3,256,noconstraints,0,1,0,25.0,28.21110725402832,24.652416229248047,23.717329025268555,26.346397399902344
6527,decreasing,psnr,20,3,256,noconstraints,0,1,0,50.0,25.9376277923584,23.62538719177246,22.811662673950195,24.725547790527344
6528,decreasing,psnr,20,3,256,noconstraints,0,1,0,75.0,23.709510803222656,22.230587005615234,21.658855438232425,22.9919376373291
6529,decreasing,psnr,20,3,256,noconstraints,0,1,0,100.0,22.03234100341797,20.828289031982425,20.345359802246094,21.407958984375
6530,decreasing,psnr,20,3,256,noconstraints,1,1,0,1.0,48.24932098388672,48.166465759277344,48.13973617553711,48.185813903808594
6531,decreasing,psnr,20,3,256,noconstraints,1,1,0,2.0,42.48235702514648,42.34856033325195,41.369590759277344,42.3778076171875
6532,decreasing,psnr,20,3,256,noconstraints,1,1,0,5.0,34.39136505126953,34.41288757324219,34.41508102416992,34.52606964111328
6533,decreasing,psnr,20,3,256,noconstraints,1,1,0,10.0,28.46850204467773,28.554851531982425,28.501434326171875,28.498268127441406
6534,decreasing,psnr,20,3,256,noconstraints,1,1,0,15.0,24.775684356689453,24.84416007995605,24.90741539001465,24.89392852783203
6535,decreasing,psnr,20,3,256,noconstraints,1,1,0,20.0,22.35906410217285,22.41352844238281,22.33536529541016,22.360530853271484
6536,decreasing,psnr,20,3,256,noconstraints,1,1,0,25.0,20.944625854492188,20.770729064941406,20.794431686401367,20.79430389404297
6537,decreasing,psnr,20,3,256,noconstraints,1,1,0,50.0,15.359115600585938,15.006580352783203,15.479480743408203,15.662132263183594
6538,decreasing,psnr,20,3,256,noconstraints,1,1,0,75.0,11.0078125,10.87820053100586,11.106781005859377,11.140419006347656
6539,decreasing,psnr,20,3,256,noconstraints,1,1,0,100.0,7.986568450927734,7.999237060546875,7.939750671386719,7.959930419921875
6540,decreasing,psnr,20,4,1024,classic,0,0,0,1.0,48.13601303100586,48.10131454467773,48.1393928527832,48.11971282958984
6541,decreasing,psnr,20,4,1024,classic,0,0,0,2.0,42.10440826416016,42.08905792236328,42.12763214111328,42.11114501953125
6542,decreasing,psnr,20,4,1024,classic,0,0,0,5.0,34.13153076171875,34.193145751953125,34.14195251464844,34.14643096923828
6543,decreasing,psnr,20,4,1024,classic,0,0,0,10.0,28.17507553100586,28.17008399963379,28.108692169189453,28.14727783203125
6544,decreasing,psnr,20,4,1024,classic,0,0,0,15.0,24.56898307800293,24.64212989807129,24.60889434814453,24.60586166381836
6545,decreasing,psnr,20,4,1024,classic,0,0,0,20.0,22.137208938598636,22.148548126220703,22.10705947875977,22.09487533569336
6546,decreasing,psnr,20,4,1024,classic,0,0,0,25.0,20.15560913085937,20.18116569519043,20.162994384765625,20.17245864868164
6547,decreasing,psnr,20,4,1024,classic,0,0,0,50.0,14.152973175048828,14.202289581298828,14.154987335205078,14.134521484375
6548,decreasing,psnr,20,4,1024,classic,0,0,0,75.0,10.643924713134766,10.615005493164062,10.617633819580078,10.603435516357422
6549,decreasing,psnr,20,4,1024,classic,0,0,0,100.0,8.124908447265625,8.068405151367188,8.123737335205078,8.13833236694336
6550,decreasing,psnr,20,4,1024,classic,0,1,0,1.0,48.139427185058594,48.11848449707031,48.13199996948242,48.1361198425293
6551,decreasing,psnr,20,4,1024,classic,0,1,0,2.0,42.12864303588867,42.09368515014648,42.12665557861328,42.10452651977539
6552,decreasing,psnr,20,4,1024,classic,0,1,0,5.0,34.171913146972656,34.131107330322266,34.1541633605957,34.154083251953125
